School ID,School Name,School Type,City,State,ZIP Code,CPS Perf Level,Safety,Safety Score,Family Involvement,Family Score,Environment,Environment Score,Instruction,Instruction Score,Teachers,Teachers Score,Parent Engage,Parent Engage Score,Parent Env,Parent Env Score,Avg Student Atd,Misconduct Rate,Avg Teacher Atd,ISAT Exceed Math,ISAT Exceed Reading,College Enrollment,Community Area,Community Name,Ward,Police District
610210,Alexander von Humboldt Elementary School,ES,Chicago,IL,60622,Level 3,Weak,31,NDA,NDA,Weak,32,Average,45,NDA,NDA,Weak,43,Weak,44,92.50%,185.5,96.00%,8.6,5.7,398,24,WEST TOWN,26,14
609808,Alex Haley Elementary Academy,ES,Chicago,IL,60628,Level 2,Weak,28,NDA,NDA,Average,58,Strong,60,NDA,NDA,Average,47,Average,49,94.90%,2.9,94.70%,11.6,1.9,525,49,ROSELAND,34,22
610028,Alfred David Kohn Elementary School,ES,Chicago,IL,60628,Level 3,Very Weak,19,Weak,26,Weak,22,Very Weak,13,Very Weak,19,Average,47,Weak,45,90.10%,31.2,94.20%,5,5.6,428,49,ROSELAND,34,5
610098,Alfred Nobel Elementary School,ES,Chicago,IL,60651,Level 2,Weak,37,Weak,34,Weak,37,Weak,35,Weak,36,Average,48,Average,51,94.60%,24.8,95.20%,9.7,7.1,801,23,HUMBOLDT PARK,37,25
609788,Alice L Barnard Computer Math & Science Center Elementary School,ES,Chicago,IL,60643,Level 1,Average,46,NDA,NDA,Weak,39,Average,58,NDA,NDA,Strong,69,Average,51,95.60%,28.5,95.00%,18,15.7,274,72,BEVERLY,19,22
610334,Al Raby High School,HS,Chicago,IL,60624,Level 3,Average,52,NDA,NDA,Average,51,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,80.30%,14,95.10%,,,551,27,EAST GARFIELD PARK,28,11
610131,Ambrose Plamondon Elementary School,ES,Chicago,IL,60608,Level 2,Average,45,NDA,NDA,Weak,32,Weak,28,NDA,NDA,Weak,45,Weak,41,96.90%,0.6,96.60%,12.3,11.4,171,29,NORTH LAWNDALE,28,10
610316,Amelia Earhart Options for Knowledge Elementary School,ES,Chicago,IL,60617,Level 2,Very Strong,81,Strong,63,Strong,60,Strong,73,Average,54,NDA,NDA,NDA,NDA,96.30%,33.4,95.40%,27.5,26.4,264,48,CALUMET HEIGHTS,8,4
609780,Ames Middle School,MS,Chicago,IL,60647,Level 2,Weak,38,Very Weak,17,Weak,27,Weak,35,Weak,26,Average,50,Average,50,94.30%,5.3,96.00%,14.5,3,586,22,LOGAN SQUARE,26,25
610339,Amos Alonzo Stagg Elementary School,ES,Chicago,IL,60621,Level 3,Weak,23,Weak,35,Weak,35,Average,42,Average,42,Weak,44,Average,50,91.40%,34.3,95.50%,7.7,7.8,539,68,ENGLEWOOD,17,7
610320,Ana Roque de Duprey Elementary School,ES,Chicago,IL,60622,Level 2,Average,57,NDA,NDA,Very Weak,12,Very Weak,14,NDA,NDA,Average,53,Strong,57,95.40%,77.5,95.60%,11.1,6.2,114,24,WEST TOWN,26,14
609837,Andrew Carnegie Elementary School,ES,Chicago,IL,60637,Level 3,Average,48,Average,51,Weak,37,Strong,63,Weak,31,Average,49,Average,49,94.60%,6.2,94.40%,21.4,20.4,730,42,WOODLAWN,20,3
610060,Andrew Jackson Elementary Language Academy,ES,Chicago,IL,60607,Level 1,Very Strong,86,NDA,NDA,Average,57,Average,46,NDA,NDA,NDA,NDA,NDA,NDA,97.40%,0.7,96.10%,70.4,62.7,556,28,NEAR WEST SIDE,2,12
609869,Anna R. Langford Community Academy,ES,Chicago,IL,60636,Level 2,Weak,31,Weak,31,Average,54,Weak,32,Average,50,Average,53,Average,52,91.80%,29,95.40%,12.6,7.5,339,67,WEST ENGLEWOOD,16,7
610084,Annie Keller Elementary Gifted Magnet School,ES,Chicago,IL,60655,Level 1,Very Strong,99,Very Strong,97,Very Strong,85,Very Strong,82,Very Strong,82,Strong,68,Strong,60,97.50%,4.9,96.50%,92.8,92.3,245,74,MOUNT GREENWOOD,19,22
610229,A.N. Pritzker School,ES,Chicago,IL,60622,Level 1,Average,59,NDA,NDA,Average,58,Strong,61,NDA,NDA,NDA,NDA,NDA,NDA,94.60%,36.5,95.60%,37.2,34.5,669,24,WEST TOWN,1,14
610277,Anthony Overton Elementary School,ES,Chicago,IL,60615,Level 3,Weak,32,NDA,NDA,Strong,64,Strong,76,NDA,NDA,Average,52,Strong,55,90.50%,24.9,94.90%,8.2,4.3,436,38,GRAND BOULEVARD,3,2
609951,Ariel Elementary Community Academy,ES,Chicago,IL,60653,Level 2,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Average,51,Average,50,95.50%,5.4,96.00%,24.8,14.4,550,39,KENWOOD,4,2
610161,Arna Wendell Bontemps Elementary School,ES,Chicago,IL,60636,Level 3,Weak,33,NDA,NDA,Average,48,Average,59,NDA,NDA,Average,53,Average,52,94.20%,31.2,95.80%,7.5,4.2,345,67,WEST ENGLEWOOD,16,7
610171,Arnold Mireles Elementary Academy,ES,Chicago,IL,60617,Level 3,Weak,27,NDA,NDA,Average,43,Average,54,NDA,NDA,Average,48,Average,51,92.80%,11.8,95.20%,7.6,5.4,905,46,SOUTH CHICAGO,10,4
610037,Arthur A Libby Elementary School,ES,Chicago,IL,60609,Level 3,Weak,36,NDA,NDA,Strong,60,Strong,60,NDA,NDA,Average,48,Average,52,90.80%,21.6,95.10%,4.8,3.9,539,61,NEW CITY,16,9
609887,Arthur Dixon Elementary School,ES,Chicago,IL,60619,Level 2,Average,47,NDA,NDA,Average,47,Average,52,NDA,NDA,NDA,NDA,NDA,NDA,94.80%,32.2,95.60%,22,15.7,652,44,CHATHAM,6,6
609836,Arthur E Canty Elementary School,ES,Chicago,IL,60634,Level 1,Very Strong,87,Strong,64,Strong,70,Strong,64,Average,47,Strong,66,Average,53,96.10%,2.3,96.10%,47.4,34.2,784,17,DUNNING,36,16
610268,Arthur R Ashe Elementary School,ES,Chicago,IL,60619,Level 3,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Weak,39,Weak,46,87.90%,41.6,93.40%,9.2,2.8,459,44,CHATHAM,8,6
609941,Asa Philip Randolph Elementary School,ES,Chicago,IL,60636,Level 3,Very Weak,15,NDA,NDA,Average,41,Average,48,NDA,NDA,Weak,45,Average,49,92.10%,43.5,95.30%,13.8,4.5,573,67,WEST ENGLEWOOD,17,7
610287,Ashburn Community Elementary School,ES,Chicago,IL,60652,Level 2,Average,48,Strong,76,Average,52,Average,40,Strong,70,Average,51,Average,50,95.50%,28.5,97.10%,15.1,9.5,490,70,ASHBURN,18,8
609820,Augustus H Burley Elementary School,ES,Chicago,IL,60657,Level 1,Very Strong,99,NDA,NDA,Strong,78,Strong,65,NDA,NDA,Strong,59,Average,49,96.50%,0.7,95.00%,54.2,53.3,572,6,LAKE VIEW,32,19
400018,Austin Business and Entrepreneurship Academy High School,HS,Chicago,IL,60644,Level 3,Weak,38,NDA,NDA,Average,41,Weak,33,NDA,NDA,NDA,NDA,NDA,NDA,76.00%,12.4,0.00%,,,316,25,AUSTIN,28,15
610169,Austin O Sexton Elementary School,ES,Chicago,IL,60637,Level 3,Weak,23,NDA,NDA,Weak,38,Weak,34,NDA,NDA,Weak,46,Weak,44,90.50%,8.6,94.10%,6.1,5.2,337,42,WOODLAWN,20,3
610501,Austin Polytechnical Academy High School,HS,Chicago,IL,60644,Level 2,Weak,38,NDA,NDA,Average,45,Average,53,NDA,NDA,NDA,NDA,NDA,NDA,70.10%,21.5,95.20%,,,250,25,AUSTIN,28,15
609786,Avalon Park Elementary School,ES,Chicago,IL,60619,Level 2,Weak,32,Weak,24,Weak,38,Weak,32,Very Weak,16,Weak,46,Weak,45,92.10%,52.1,96.40%,7.9,5.1,398,45,AVALON PARK,8,4
609871,Barbara Vick Early Childhood & Family Center,ES,Chicago,IL,60655,NDA,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Strong,66,Strong,60,60.90%,0,95.50%,,,204,75,MORGAN PARK,19,22
609922,Belmont-Cragin Elementary School,ES,Chicago,IL,60639,Level 2,Strong,75,Very Strong,81,Strong,67,Strong,66,Average,53,Strong,55,Strong,54,95.30%,1.3,96.80%,11,11,634,19,BELMONT CRAGIN,30,25
609764,Benito Juarez Community Academy High School,HS,Chicago,IL,60608,Level 3,Average,46,Average,53,Average,44,Average,45,Average,48,NDA,NDA,NDA,NDA,83.70%,17.2,95.80%,,,1683,31,LOWER WEST SIDE,25,12
610265,Benjamin Banneker Elementary School,ES,Chicago,IL,60621,Level 3,Weak,36,NDA,NDA,Weak,35,Average,58,NDA,NDA,NDA,NDA,NDA,NDA,91.30%,26.9,93.90%,7.9,1.5,302,68,ENGLEWOOD,6,7
610290,Benjamin E Mays Elementary Academy,ES,Chicago,IL,60621,Level 2,Weak,27,Weak,23,Average,55,Average,48,Weak,37,NDA,NDA,NDA,NDA,95.50%,0.3,96.60%,17.4,9.6,301,68,ENGLEWOOD,16,7
610076,Bernhard Moos Elementary School,ES,Chicago,IL,60647,Level 2,Average,50,Weak,34,Average,47,Weak,32,Weak,31,NDA,NDA,NDA,NDA,93.00%,45.5,96.30%,24,7.5,429,24,WEST TOWN,1,14
610150,Betsy Ross Elementary School,ES,Chicago,IL,60637,Level 3,Weak,39,NDA,NDA,Average,51,Average,50,NDA,NDA,Weak,37,Weak,44,88.90%,64.1,93.90%,2.5,2,350,40,WASHINGTON PARK,20,3
610175,Beulah Shoesmith Elementary School,ES,Chicago,IL,60615,Level 2,Average,45,Average,54,Average,40,Weak,39,Average,41,Average,49,Weak,45,94.70%,0.3,94.80%,10.8,19.6,325,39,KENWOOD,4,2
610087,Blair Early Childhood Center,ES,Chicago,IL,60638,NDA,NDA,,Strong,64,NDA,,NDA,,Strong,66,Strong,58,Strong,65,80.20%,0.8,94.80%,,,137,64,CLEARING,23,8
609969,Bret Harte Elementary School,ES,Chicago,IL,60637,Level 3,Strong,63,NDA,NDA,Strong,77,Strong,76,NDA,NDA,Average,47,Weak,44,94.20%,17.9,95.40%,27.5,21.9,340,41,HYDE PARK,5,2
610106,Brian Piccolo Elementary Specialty School,ES,Chicago,IL,60651,Level 3,Weak,27,NDA,NDA,Weak,29,Weak,31,NDA,NDA,NDA,NDA,NDA,NDA,90.60%,65.8,95.00%,3.4,1.6,549,23,HUMBOLDT PARK,37,11
610317,Brighton Park Elementary School,ES,Chicago,IL,60632,Level 1,Average,55,NDA,NDA,Average,49,Average,43,NDA,NDA,NDA,NDA,NDA,NDA,96.30%,2.6,95.90%,18.6,11.4,691,58,BRIGHTON PARK,12,9
610381,Bronzeville Scholastic Academy High School,HS,Chicago,IL,60615,Level 3,Average,41,Weak,38,Average,42,Average,43,Very Weak,15,Average,51,Weak,43,92.30%,16.2,95.60%,,,550,38,GRAND BOULEVARD,3,2
609821,Burnham Elementary Inclusive Academy,ES,Chicago,IL,60617,Level 1,Strong,61,Strong,77,Very Strong,85,Very Strong,99,Strong,71,Strong,54,Average,47,95.50%,29.4,96.90%,36.5,22,286,51,SOUTH DEERING,7,4
609827,Burnside Elementary Scholastic Academy,ES,Chicago,IL,60619,Level 2,Average,51,NDA,NDA,Average,58,Strong,70,NDA,NDA,Average,48,Average,47,94.90%,8.9,94.90%,15.5,14.3,766,44,CHATHAM,6,6
610353,Calmeca Academy of Fine Arts and Dual Language,ES,Chicago,IL,60632,Level 2,Average,58,Strong,67,Average,59,Strong,72,Average,55,Average,51,Strong,57,96.50%,1.9,96.90%,13.9,10.3,792,58,BRIGHTON PARK,12,9
609729,Carl Schurz High School,HS,Chicago,IL,60641,Level 3,Average,48,Weak,36,Weak,36,Weak,29,Weak,31,NDA,NDA,NDA,NDA,81.20%,13.8,96.00%,,,2366,16,IRVING PARK,38,17
610039,Carl von Linne Elementary School,ES,Chicago,IL,60618,Level 1,Strong,68,Average,49,Strong,66,Strong,75,Average,44,Average,50,Strong,55,95.80%,1.8,96.30%,24.8,15.1,644,21,AVONDALE,33,17
610238,Carrie Jacobs Bond Elementary School,ES,Chicago,IL,60621,Level 2,Average,54,Average,49,Strong,67,Strong,63,Weak,32,Average,53,Average,52,91.70%,18.8,94.30%,7.9,5.6,343,68,ENGLEWOOD,17,7
609839,Carroll-Rosenwald Specialty Elementary School,ES,Chicago,IL,60652,Level 2,Weak,35,NDA,NDA,Very Weak,12,Very Weak,12,NDA,NDA,Average,48,Average,47,94.80%,27.8,95.60%,11.8,9.1,537,70,ASHBURN,18,8
610345,Carter G Woodson South Elementary School,ES,Chicago,IL,60653,Level 3,Weak,26,Weak,27,Very Weak,2,Very Weak,1,Average,41,Weak,44,Average,47,91.90%,70.5,94.70%,4.3,2.4,329,38,GRAND BOULEVARD,3,2
610148,Cesar E Chavez Multicultural Academic Center Elementary School,ES,Chicago,IL,60609,Level 1,Average,54,Average,52,Strong,63,Average,52,Average,50,Weak,45,Average,51,95.10%,11.1,96.10%,19.8,8.4,915,61,NEW CITY,20,9
609679,Charles Allen Prosser Career Academy High School,HS,Chicago,IL,60639,Level 2,Average,59,Average,47,Average,53,Average,51,Average,44,Weak,46,Weak,45,86.00%,9.7,94.40%,,,1415,19,BELMONT CRAGIN,37,25
610005,Charles Evans Hughes Elementary School,ES,Chicago,IL,60623,Level 3,Average,42,NDA,NDA,Very Strong,82,Strong,72,NDA,NDA,NDA,NDA,NDA,NDA,94.40%,0,94.70%,12.2,4.7,315,29,NORTH LAWNDALE,24,10
609879,Charles Gates Dawes Elementary School,ES,Chicago,IL,60652,Level 2,Average,44,Weak,38,Weak,27,Weak,30,Average,54,Average,50,Average,48,95.70%,35.6,95.60%,23.1,13.6,1032,70,ASHBURN,18,8
609966,Charles G Hammond Elementary School,ES,Chicago,IL,60623,Level 2,Average,40,NDA,NDA,Average,41,Average,43,NDA,NDA,Weak,43,Weak,45,95.30%,8.5,95.20%,10.1,5.8,446,30,SOUTH LAWNDALE,12,10
610366,Charles H Wacker Elementary School,ES,Chicago,IL,60643,Level 2,Weak,32,NDA,NDA,Weak,34,Weak,32,NDA,NDA,Average,50,Weak,41,93.40%,11.5,93.40%,17.4,15.9,246,73,WASHINGTON HEIGHTS,21,22
610030,Charles Kozminski Elementary Community Academy,ES,Chicago,IL,60615,Level 3,Weak,36,NDA,NDA,Weak,35,Average,40,NDA,NDA,Weak,39,Weak,42,92.00%,55.6,94.40%,5,6.1,403,41,HYDE PARK,4,2
609996,Charles N Holden Elementary School,ES,Chicago,IL,60608,Level 2,Average,53,Average,44,Average,50,Weak,35,Average,51,Strong,54,Average,50,94.90%,4.7,96.00%,16.7,11.5,600,60,BRIDGEPORT,11,9
609833,Charles P Caldwell Academy of Math & Science Elementary School,ES,Chicago,IL,60617,Level 3,Weak,25,Weak,31,Average,40,Average,44,Weak,25,Weak,44,Average,47,92.70%,30.7,94.70%,10.9,6.8,291,45,AVALON PARK,8,4
609732,Charles P Steinmetz Academic Centre High School,HS,Chicago,IL,60634,Level 3,Weak,26,Weak,35,Weak,29,Weak,34,Weak,32,NDA,NDA,NDA,NDA,79.20%,30.4,96.20%,,,1890,19,BELMONT CRAGIN,36,25
609875,Charles R Darwin Elementary School,ES,Chicago,IL,60647,Level 2,Average,58,Average,40,Average,44,Weak,34,Average,46,Average,49,Strong,54,95.60%,33.8,96.20%,16,6.9,622,22,LOGAN SQUARE,26,14
609986,Charles R Henderson Elementary School,ES,Chicago,IL,60636,Level 3,Very Weak,16,NDA,NDA,Weak,32,Weak,38,NDA,NDA,Weak,46,Weak,44,89.20%,80.6,93.60%,4.8,2.6,407,67,WEST ENGLEWOOD,15,7
609813,Charles S Brownell Elementary School,ES,Chicago,IL,60637,Level 2,Weak,20,Very Weak,16,Strong,79,Very Strong,82,Very Weak,19,Average,48,Weak,46,92.80%,14.1,95.50%,12.9,8.8,310,69,GREATER GRAND CROSSING,20,3
609883,Charles S Deneen Elementary School,ES,Chicago,IL,60619,Level 2,Average,55,Weak,33,Average,49,Average,51,Average,49,NDA,NDA,NDA,NDA,93.80%,39.5,97.10%,9.4,6.8,551,69,GREATER GRAND CROSSING,6,3
610194,Charles Sumner  Math & Science Community Acad Elementary School,ES,Chicago,IL,60624,Level 3,Average,41,Weak,27,Average,44,Average,48,Weak,34,Average,48,Weak,46,93.90%,12.3,96.90%,13.1,9.7,430,26,WEST GARFIELD PARK,24,11
609897,Charles W Earle Elementary School,ES,Chicago,IL,60636,Level 2,Weak,24,NDA,NDA,Strong,62,Strong,71,NDA,NDA,Average,53,Average,48,93.80%,16.9,94.60%,9.8,5.6,331,67,WEST ENGLEWOOD,15,7
610248,Chicago Academy Elementary School,ES,Chicago,IL,60634,Level 1,Strong,66,NDA,NDA,Average,40,Weak,22,NDA,NDA,Average,47,Average,51,96.30%,6,96.10%,41.9,30.3,601,17,DUNNING,38,16
610340,Chicago Academy High School,HS,Chicago,IL,60634,Level 2,Average,58,Weak,35,Average,57,Average,53,Average,57,NDA,NDA,NDA,NDA,93.10%,6.3,96.10%,,,502,17,DUNNING,38,16
609753,Chicago High School for Agricultural Sciences,HS,Chicago,IL,60655,Level 1,Very Strong,87,Strong,77,Average,49,Average,47,Average,40,Average,52,Strong,55,92.80%,5.2,95.20%,,,579,74,MOUNT GREENWOOD,19,22
609754,Chicago Military Academy High School,HS,Chicago,IL,60653,Level 2,Weak,32,NDA,NDA,Weak,23,Weak,35,NDA,NDA,NDA,NDA,NDA,NDA,90.30%,28.2,95.60%,,,483,35,DOUGLAS,2,2
609674,Chicago Vocational Career Academy High School,HS,Chicago,IL,60617,Level 3,Weak,27,Average,43,Weak,21,Weak,30,Weak,39,NDA,NDA,NDA,NDA,68.80%,33.3,94.60%,,,833,45,AVALON PARK,8,4
609899,Christian Ebinger Elementary School,ES,Chicago,IL,60631,Level 1,Strong,78,Strong,72,Strong,66,Average,50,Strong,62,Average,52,Weak,43,95.90%,9.3,95.20%,50.6,40.2,650,9,EDISON PARK,41,16
609705,Christian Fenger Academy High School,HS,Chicago,IL,60628,Level 3,Weak,36,Weak,28,Average,41,Weak,32,Average,42,NDA,NDA,NDA,NDA,74.40%,49.8,95.40%,,,688,49,ROSELAND,34,22
609863,Christopher Columbus Elementary School,ES,Chicago,IL,60622,Level 1,Strong,66,NDA,NDA,Average,57,Average,55,NDA,NDA,Strong,54,Average,48,95.50%,2.4,96.90%,42,30.5,309,24,WEST TOWN,32,13
609790,Clara Barton Elementary School,ES,Chicago,IL,60620,Level 3,Weak,25,Average,42,Weak,28,Weak,34,Average,59,Average,51,Average,49,91.70%,25.3,96.40%,8.1,5.7,602,71,AUBURN GRESHAM,18,6
610347,Claremont Academy Elementary School,ES,Chicago,IL,60636,Level 2,Weak,36,Weak,33,Average,50,Average,51,Average,59,Weak,46,Average,52,92.50%,64.2,96.20%,12.1,8.1,531,66,CHICAGO LAWN,15,8
610499,Collins Academy High School,HS,Chicago,IL,60623,Level 2,Strong,60,Average,42,Average,51,Average,46,Average,48,Strong,54,Strong,56,91.40%,2.9,96.60%,,,409,29,NORTH LAWNDALE,24,10
610170,Columbia Explorers Elementary Academy,ES,Chicago,IL,60632,Level 2,Average,59,Strong,64,Average,59,Strong,63,Strong,72,Average,52,Strong,55,95.40%,8.9,97.10%,17.1,13.8,1038,58,BRIGHTON PARK,14,8
610004,Countee Cullen Elementary School,ES,Chicago,IL,60628,Level 3,Very Weak,14,NDA,NDA,Weak,28,Weak,34,NDA,NDA,NDA,NDA,NDA,NDA,94.10%,36.9,96.30%,9.7,8.1,233,49,ROSELAND,9,5
609781,Crispus Attucks Elementary School,ES,Chicago,IL,60609,Level 3,Average,45,Strong,76,Strong,64,Average,57,Very Strong,85,NDA,NDA,NDA,NDA,95.20%,12.5,93.50%,7.6,10,274,38,GRAND BOULEVARD,3,2
609873,Crown Community Academy of Fine Arts Center Elementary School,ES,Chicago,IL,60623,Level 2,Weak,27,Weak,39,Average,51,Average,52,Weak,31,Average,49,Average,51,92.50%,100.5,96.70%,3.9,8.8,298,29,NORTH LAWNDALE,24,10
610063,Cyrus H McCormick Elementary School,ES,Chicago,IL,60623,Level 1,NDA,,Strong,60,NDA,,NDA,,Average,54,Average,52,Strong,56,95.90%,4.7,95.90%,25.2,10.3,894,30,SOUTH LAWNDALE,22,10
609804,Daniel Boone Elementary School,ES,Chicago,IL,60645,Level 1,Average,52,Average,50,Average,47,Average,48,Average,53,Average,50,Average,49,95.50%,10.5,95.40%,22,17.6,752,2,WEST RIDGE,50,24
610083,Daniel C Beard Elementary School,ES,Chicago,IL,60656,Not Enough Data,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Strong,57,Strong,58,91.90%,0,94.30%,,,160,10,NORWOOD PARK,41,16
610380,Daniel Hale Williams Prep School of Medicine,HS,Chicago,IL,60615,Level 2,Average,50,NDA,NDA,Average,45,Average,54,NDA,NDA,NDA,NDA,NDA,NDA,91.30%,5.4,96.70%,23.7,8.5,324,38,GRAND BOULEVARD,3,2
609870,Daniel J Corkery Elementary School,ES,Chicago,IL,60623,Level 2,Weak,39,NDA,NDA,Weak,31,Weak,29,NDA,NDA,NDA,NDA,NDA,NDA,94.70%,18.1,97.20%,13.6,8.2,631,30,SOUTH LAWNDALE,22,10
609835,Daniel R Cameron Elementary School,ES,Chicago,IL,60651,Level 3,Average,42,NDA,NDA,Average,49,Average,50,NDA,NDA,Weak,46,Weak,46,92.60%,153.9,96.20%,10.3,5.9,828,23,HUMBOLDT PARK,26,25
610223,Daniel S Wentworth Elementary School,ES,Chicago,IL,60621,Level 3,Weak,30,Weak,32,Weak,34,Weak,36,Weak,32,NDA,NDA,NDA,NDA,91.60%,73.8,95.90%,5.5,1.5,365,68,ENGLEWOOD,17,7
610221,Daniel Webster Elementary School,ES,Chicago,IL,60624,Level 1,Average,48,Average,56,Very Strong,81,Strong,66,Average,44,Weak,45,Strong,55,94.80%,5.7,97.20%,25.9,21,370,26,WEST GARFIELD PARK,24,11
609704,David G Farragut Career Academy High School,HS,Chicago,IL,60623,Level 2,Average,43,NDA,NDA,Average,42,Weak,32,NDA,NDA,NDA,NDA,NDA,NDA,86.10%,18.6,95.20%,,,1456,30,SOUTH LAWNDALE,22,10
610402,DeVry University Advantage Academy High School,HS,Chicago,IL,60618,Level 1,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Strong,58,Strong,55,96.70%,0,94.50%,,,200,5,NORTH CENTER,47,19
609885,Dewey Elementary Academy of Fine Arts,ES,Chicago,IL,60609,Level 3,Average,41,NDA,NDA,Average,42,Weak,35,NDA,NDA,Average,52,Strong,58,90.70%,26.3,95.50%,3.3,0.5,357,61,NEW CITY,3,9
609859,DeWitt Clinton Elementary School,ES,Chicago,IL,60659,Level 1,Average,47,Average,41,Average,47,Average,52,Weak,36,NDA,NDA,NDA,NDA,95.30%,14.8,95.40%,33.5,21.8,1139,2,WEST RIDGE,50,24
610515,Disney II Magnet School,ES,Chicago,IL,60641,Level 1,NDA,,Very Strong,99,NDA,,NDA,,Average,53,Strong,62,Strong,58,97.30%,0,96.50%,57.8,52,363,16,IRVING PARK,38,17
610077,Donald Morrill Math & Science Elementary School,ES,Chicago,IL,60629,Level 3,Weak,28,Weak,25,Weak,32,Weak,39,Weak,32,Weak,44,Average,49,93.40%,19.6,94.80%,10,5.7,823,66,CHICAGO LAWN,15,8
610198,Douglas Taylor Elementary School,ES,Chicago,IL,60617,Level 2,Weak,34,NDA,NDA,Weak,20,Very Weak,1,NDA,NDA,Weak,42,Weak,45,95.10%,16.6,94.30%,12.4,9.9,632,52,EAST SIDE,10,4
610533,Dr Jorge Prieto Math and Science,ES,Chicago,IL,60639,Not Enough Data,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Average,52,Strong,58,94.70%,7,96.90%,14.6,8.6,1001,19,BELMONT CRAGIN,37,25
609751,Dr  Martin Luther King  Jr  College Prep High School,HS,Chicago,IL,60653,Level 1,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,Strong,56,Average,52,92.90%,4.4,96.30%,,,915,39,KENWOOD,4,2
610266,Dumas Technology Academy,ES,Chicago,IL,60637,Level 3,Very Weak,19,NDA,NDA,Weak,25,Average,49,NDA,NDA,Average,48,Average,53,92.50%,38.4,95.60%,8.3,5.8,381,42,WOODLAWN,5,3
